Student_ID,Oxygen_Away,All_Stand_Clear,Continue_Compressions,Charge_Discharge_Acknowledged,Stop_Start_Commands
P01_LL,✗,✗,✗,✗,✗
P01_LS,✗,✗,✗,✗,✗
P01_T,✗,✗,✗,✗,✗
P02_LL,✗,✗,✗,✗,✗
P02_LS,✗,✗,✗,✗,✗
P02_T,✗,✗,✗,✗,✗
P03_LL,✓,✓,✗,✗,✗
P03_LS,✗,✗,✗,✗,✗
P03_T,✗,✗,✗,✗,✗
P04_LL,✗,✗,✗,✗,✗
P04_LS,✗,✗,✗,✗,✗
P04_T,✗,✗,✗,✗,✗
P05_LL,✗,✗,✗,✗,✗
P05_LS,✗,✗,✗,✗,✗
P05_T,✗,✗,✗,✗,✗
P06_LL,✗,✗,✗,✗,✗
P06_LS,✗,✗,✗,✗,✗
P06_T,✗,✗,✗,✗,✗
P07_LL,✗,✗,✗,✗,✗
P07_LS,✗,✗,✗,✓,✗
P07_T,✗,✗,✗,✗,✗
P08_LL,✗,✗,✗,✗,✗
P08_LS,✗,✗,✗,✗,✗
P08_T,✗,✗,✗,✗,✗
P09_LL,✗,✗,✗,✗,✗
P09_LS,✗,✗,✗,✗,✗
P09_T,✗,✗,✗,✗,✗
P10_LL,✗,✗,✗,✗,✗
P10_LS,✗,✗,✗,✗,✗
P10_T,✗,✗,✗,✗,✗
P11_LL,✗,✗,✗,✗,✗
P11_LS,✗,✗,✗,✗,✗
P11_T,✗,✗,✗,✓,✗
P12_LL,✗,✗,✗,✗,✗
P12_LS,✗,✗,✗,✗,✗
P12_T,✗,✗,✗,✗,✗
P13_LL,✗,✗,✗,✗,✗
P13_LS,✗,✗,✗,✗,✗
P13_T,✗,✗,✗,✗,✗
P14_LL,✗,✗,✗,✗,✗
P14_LS,✗,✗,✗,✗,✗
P14_T,✗,✗,✗,✗,✗
P15_LL,✗,✗,✗,✗,✗
P15_LS,✗,✗,✗,✗,✗
P15_T,✗,✗,✗,✗,✗
P16_LL,✗,✗,✗,✗,✗
P16_LS,✗,✗,✗,✗,✗
P16_T,✗,✗,✗,✗,✗
P17_LL,✗,✗,✗,✗,✗
P17_LS,✗,✗,✗,✗,✗
P17_T,✗,✗,✗,✗,✗
P18_LL,✗,✗,✗,✗,✗
P18_LS,✗,✗,✗,✗,✗
P18_T,✗,✗,✗,✗,✗
P19_LL,✗,✗,✗,✗,✗
P19_LS,✗,✗,✗,✗,✗
P19_T,✗,✗,✗,✗,✗
P20_LL,✗,✗,✗,✗,✗
P20_LS,✗,✗,✗,✗,✗
P20_T,✗,✗,✓,✗,✓
P21_LL,✗,✗,✗,✗,✗
P21_LS,✗,✗,✗,✗,✗
P21_T,✗,✗,✗,✗,✗
P22_LL,✗,✗,✗,✗,✗
P22_LS,✗,✗,✗,✗,✗
P22_T,✗,✗,✗,✗,✗
P23_LL,✗,✗,✗,✓,✗
P23_LS,✗,✗,✗,✗,✗
P23_T,✗,✗,✗,✗,✗
P24_LL,✗,✗,✗,✗,✗
P24_LS,✗,✗,✗,✓,✗
P24_T,✗,✗,✗,✓,✗
P25_LL,✗,✗,✗,✗,✓
P25_LS,✗,✗,✗,✗,✗
P25_T,✗,✗,✗,✗,✗
P26_LL,✗,✗,✗,✗,✗
P26_LS,✗,✗,✗,✗,✗
P26_T,✗,✗,✗,✗,✗
P27_LL,✗,✗,✗,✗,✗
P27_LS,✗,✗,✗,✓,✗
P27_T,✗,✗,✗,✓,✗
P28_LL,✗,✗,✗,✗,✗
P28_LS,✗,✗,✗,✗,✗
P28_T,✗,✗,✗,✗,✗
P29_LL,✗,✗,✗,✗,✗
P29_LS,✗,✗,✗,✗,✗
P29_T,✗,✗,✗,✗,✗
P30_LL,✗,✗,✗,✗,✗
P30_LS,✗,✗,✗,✗,✗
P30_T,✗,✗,✗,✗,✗
