severity,code,archive,task_path,canonical_task_id,label,frame,details
warning,object_label_used_as_tag,kartheepan/P05_LL.zip,.,P05_LL,apical_placement_zone,287,
warning,object_label_used_as_tag,Rashad.zip,task_0,P42_LL,learner_hand,287,
warning,object_label_used_as_tag,Rashad.zip,task_0,P42_LL,paddle_apical,287,
warning,object_label_used_as_tag,Rashad.zip,task_0,P42_LL,paddle_apical,289,
warning,object_label_used_as_tag,Rashad.zip,task_0,P42_LL,apical_placement_zone,318,
warning,object_label_used_as_tag,Rashad.zip,task_0,P42_LL,paddle_sternal,457,
warning,object_label_used_as_tag,Rashad.zip,task_1,P42_LS,apical_placement_zone,382,
warning,object_label_used_as_tag,Rashad.zip,task_1,P42_LS,sternal_placement_zone,483,
warning,object_label_used_as_tag,Rashad.zip,task_1,P42_LS,shock_symbol,519,
warning,object_label_used_as_tag,Rashad.zip,task_3,P43_LL,apical_placement_zone,172,
warning,object_label_used_as_tag,Rashad.zip,task_4,P43_LS,shock_symbol,514,
warning,object_label_used_as_tag,Rashad.zip,task_7,P44_LS,shock_symbol,504,
warning,object_label_used_as_tag,Rashad.zip,task_13,P46_LS,shock_symbol,538,
warning,object_label_used_as_tag,Sharmilan.zip,task_10,P50_LS,shock_symbol,425,
warning,task_name_normalized,defibliration2.zip,task_14,P26_LL,,,'P26_LL.' normalized using media 'P26_LL.MP4'
warning,task_name_normalized,defibliration2.zip,task_2,P30_LL,,,'P30_LL.' normalized using media 'P30_LL.MP4'
warning,task_name_normalized,Rashad.zip,task_0,P42_LL,,,'P42_LL.MP4' normalized using media 'P42_LL.MP4'
warning,task_name_normalized,Rashad.zip,task_1,P42_LS,,,'P42_LS.mp4' normalized using media 'P42_LS.mp4'
warning,task_name_normalized,Rashad.zip,task_2,P42_T,,,'P42_T.MOV' normalized using media 'P42_T.MOV'
warning,task_name_normalized,Rashad.zip,task_3,P43_LL,,,'P43_LL.MP4' normalized using media 'P43_LL.MP4'
warning,task_name_normalized,Rashad.zip,task_4,P43_LS,,,'P43_LS.mp4' normalized using media 'P43_LS.mp4'
warning,task_name_normalized,Rashad.zip,task_5,P43_T,,,'P43_T.MOV' normalized using media 'P43_T.MOV'
warning,task_name_normalized,Rashad.zip,task_6,P44_LL,,,'P44_LL.MP4' normalized using media 'P44_LL.MP4'
warning,task_name_normalized,Rashad.zip,task_7,P44_LS,,,'P44_LS.mp4' normalized using media 'P44_LS.mp4'
warning,task_name_normalized,Rashad.zip,task_8,P44_T,,,'P44_T.MOV' normalized using media 'P44_T.MOV'
warning,task_name_normalized,Rashad.zip,task_9,P45_LL,,,'P45_LL.MP4' normalized using media 'P45_LL.MP4'
warning,task_name_normalized,Rashad.zip,task_10,P45_LS,,,'P45_LS.mp4' normalized using media 'P45_LS.mp4'
warning,task_name_normalized,Rashad.zip,task_11,P45_T,,,'P45_T.MOV' normalized using media 'P45_T.MOV'
warning,task_name_normalized,Rashad.zip,task_12,P46_LL,,,'P46_LL.MP4' normalized using media 'P46_LL.MP4'
warning,task_name_normalized,Rashad.zip,task_13,P46_LS,,,'P46_LS.mp4' normalized using media 'P46_LS.mp4'
warning,task_name_normalized,Rashad.zip,task_14,P46_T,,,'P46_T.MOV' normalized using media 'P46_T.MOV'
warning,task_name_normalized,Sharmilan.zip,task_4,P48_LS,,,'PP48_LS' normalized using media 'P48_LS.mp4'
warning,task_name_normalized,Sharmilan.zip,task_5,P48_T,,,'P_48T' normalized using media 'P48_T.MOV'
review,coordinates_outside_frame,kartheepan/P01_LL.zip,.,P01_LL,paddle_apical,412,keyframes=8; resolution=1920x1080; frame_range=412-419
review,coordinates_outside_frame,kartheepan/P01_LS.zip,.,P01_LS,learner_hand,300,keyframes=18; resolution=1920x1080; frame_range=300-331
review,coordinates_outside_frame,kartheepan/P01_LS.zip,.,P01_LS,paddle_apical,430,keyframes=5; resolution=1920x1080; frame_range=430-550
review,coordinates_outside_frame,kartheepan/P03_LS.zip,.,P03_LS,learner_hand,183,keyframes=33; resolution=1920x1080; frame_range=183-235
review,coordinates_outside_frame,kartheepan/P03_LS.zip,.,P03_LS,paddle_apical,342,keyframes=26; resolution=1920x1080; frame_range=342-497
review,coordinates_outside_frame,kartheepan/P03_LS.zip,.,P03_LS,paddle_sternal,398,keyframes=14; resolution=1920x1080; frame_range=398-496
review,coordinates_outside_frame,kartheepan/P04_LS.zip,.,P04_LS,paddle_apical,345,keyframes=16; resolution=1920x1080; frame_range=345-470
review,coordinates_outside_frame,kartheepan/P04_LS.zip,.,P04_LS,paddle_sternal,395,keyframes=8; resolution=1920x1080; frame_range=395-467
review,coordinates_outside_frame,kartheepan/P04_LS.zip,.,P04_LS,learner_hand,86,keyframes=23; resolution=1920x1080; frame_range=86-111
review,coordinates_outside_frame,kartheepan/P05_LS.zip,.,P05_LS,learner_hand,205,keyframes=19; resolution=1920x1080; frame_range=205-238
review,coordinates_outside_frame,kartheepan/P05_LS.zip,.,P05_LS,paddle_apical,402,keyframes=12; resolution=1920x1080; frame_range=402-618
review,coordinates_outside_frame,kartheepan/P05_LS.zip,.,P05_LS,paddle_sternal,498,keyframes=9; resolution=1920x1080; frame_range=498-618
review,coordinates_outside_frame,kartheepan/P06_T.zip,.,P06_T,defibrillator_screen,0,keyframes=5; resolution=1920x1080; frame_range=0-636
review,coordinates_outside_frame,kartheepan/P07_LS.zip,.,P07_LS,learner_hand,240,keyframes=7; resolution=1920x1080; frame_range=240-269
review,coordinates_outside_frame,kartheepan/P07_LS.zip,.,P07_LS,paddle_sternal,555,keyframes=8; resolution=1920x1080; frame_range=555-697
review,coordinates_outside_frame,kartheepan/P07_LS.zip,.,P07_LS,paddle_apical,693,keyframes=6; resolution=1920x1080; frame_range=693-698
review,coordinates_outside_frame,kartheepan/P07_T.zip,.,P07_T,defibrillator_screen,0,keyframes=6; resolution=1920x1080; frame_range=0-555
review,coordinates_outside_frame,kartheepan/P12_LS.zip,.,P12_LS,learner_hand,167,keyframes=7; resolution=1920x1080; frame_range=167-174
review,coordinates_outside_frame,kartheepan/P12_LS.zip,.,P12_LS,paddle_sternal,450,keyframes=9; resolution=1920x1080; frame_range=450-460
review,coordinates_outside_frame,kartheepan/P12_LS.zip,.,P12_LS,paddle_apical,453,keyframes=14; resolution=1920x1080; frame_range=453-466
review,coordinates_outside_frame,kartheepan/P12_T.zip,.,P12_T,paddle_apical,243,keyframes=21; resolution=1920x1080; frame_range=243-427
review,coordinates_outside_frame,kartheepan/P13_LS.zip,.,P13_LS,defibrillator_screen,0,keyframes=1; resolution=1920x1080; frame_range=0-0
review,coordinates_outside_frame,kartheepan/P13_T.zip,.,P13_T,learner_hand,146,keyframes=13; resolution=1920x1080; frame_range=146-174
review,coordinates_outside_frame,kartheepan/P13_T.zip,.,P13_T,paddle_apical,266,keyframes=32; resolution=1920x1080; frame_range=266-415
review,coordinates_outside_frame,kartheepan/P14_LS.zip,.,P14_LS,defibrillator_screen,422,keyframes=1; resolution=1920x1080; frame_range=422-422
review,coordinates_outside_frame,kartheepan/P14_T.zip,.,P14_T,learner_hand,172,keyframes=2; resolution=1920x1080; frame_range=172-173
review,coordinates_outside_frame,kartheepan/P14_T.zip,.,P14_T,paddle_sternal,305,keyframes=12; resolution=1920x1080; frame_range=305-429
review,coordinates_outside_frame,kartheepan/P14_T.zip,.,P14_T,paddle_apical,423,keyframes=6; resolution=1920x1080; frame_range=423-437
review,coordinates_outside_frame,kartheepan/P15_LS.zip,.,P15_LS,defibrillator_screen,0,keyframes=4; resolution=1920x1080; frame_range=0-650
review,coordinates_outside_frame,kartheepan/P15_T.zip,.,P15_T,paddle_apical,454,keyframes=16; resolution=1920x1080; frame_range=454-596
review,coordinates_outside_frame,defibliration2.zip,task_42,P16_T,learner_hand,169,keyframes=12; resolution=1080x1920; frame_range=169-183
review,coordinates_outside_frame,defibliration2.zip,task_0,P30_T,defibrillator_screen,230,keyframes=1; resolution=1080x1920; frame_range=230-230
review,coordinates_outside_frame,kartheepan/P32_T.zip,.,P32_T,learner_hand,200,keyframes=9; resolution=1080x1920; frame_range=200-208
review,coordinates_outside_frame,kartheepan/P32_T.zip,.,P32_T,paddle_apical,444,keyframes=4; resolution=1080x1920; frame_range=444-454
review,coordinates_outside_frame,kartheepan/P33_T.zip,.,P33_T,learner_hand,415,keyframes=2; resolution=1920x1080; frame_range=415-446
review,coordinates_outside_frame,kartheepan/P33_T.zip,.,P33_T,paddle_apical,889,keyframes=2; resolution=1920x1080; frame_range=889-890
review,coordinates_outside_frame,Sharmilan.zip,task_2,P47_T,paddle_apical,519,keyframes=9; resolution=1920x1080; frame_range=519-663
review,coordinates_outside_frame,Sharmilan.zip,task_8,P49_T,learner_hand,218,keyframes=14; resolution=1920x1080; frame_range=218-288
review,coordinates_outside_frame,Sharmilan.zip,task_8,P49_T,paddle_apical,353,keyframes=21; resolution=1920x1080; frame_range=353-514
review,coordinates_outside_frame,Sharmilan.zip,task_11,P50_T,learner_hand,199,keyframes=5; resolution=1080x1920; frame_range=199-205
review,coordinates_outside_frame,Sharmilan.zip,task_14,P51_T,learner_hand,339,keyframes=11; resolution=1080x1920; frame_range=339-378
review,coordinates_outside_frame,Sharmilan.zip,task_14,P51_T,paddle_apical,495,keyframes=5; resolution=1080x1920; frame_range=495-510
