archive,archive_type,annotation_source,compressed_size_bytes,uncompressed_size_bytes,task_count,participant_count,video_count,frame_count,tag_count,standalone_shape_count,track_count,track_keyframe_count,integrity
defibliration2.zip,project_backup,defibliration2,1338725329,1338705277,45,15,45,24869,256,1,269,4454,ok
kartheepan/P01_LL.zip,task_backup,kartheepan,41277045,41276601,1,1,1,473,4,0,6,89,ok
kartheepan/P01_LS.zip,task_backup,kartheepan,38022140,38021696,1,1,1,610,8,0,7,103,ok
kartheepan/P01_T.zip,task_backup,kartheepan,40104986,40104544,1,1,1,617,8,0,7,135,ok
kartheepan/P03_LL.zip,task_backup,kartheepan,29131594,29131264,1,1,1,483,4,0,5,120,ok
kartheepan/P03_LS.zip,task_backup,kartheepan,39580671,39580227,1,1,1,636,8,0,7,120,ok
kartheepan/P03_T.zip,task_backup,kartheepan,19672638,19672196,1,1,1,537,8,0,7,120,ok
kartheepan/P04_LL.zip,task_backup,kartheepan,29280976,29280646,1,1,1,486,5,0,6,163,ok
kartheepan/P04_LS.zip,task_backup,kartheepan,34594998,34594554,1,1,1,541,8,0,7,126,ok
kartheepan/P04_T.zip,task_backup,kartheepan,18766486,18766044,1,1,1,513,7,0,7,153,ok
kartheepan/P05_LL.zip,task_backup,kartheepan,33872727,33872397,1,1,1,564,4,0,7,169,ok
kartheepan/P05_LS.zip,task_backup,kartheepan,43835409,43834965,1,1,1,694,8,0,7,163,ok
kartheepan/P05_T.zip,task_backup,kartheepan,24162888,24162446,1,1,1,661,7,0,7,127,ok
kartheepan/P06_LL.zip,task_backup,kartheepan,39805676,39805346,1,1,1,661,5,0,5,144,ok
kartheepan/P06_LS.zip,task_backup,kartheepan,51821425,51820981,1,1,1,803,8,0,6,165,ok
kartheepan/P06_T.zip,task_backup,kartheepan,27337372,27336930,1,1,1,750,5,0,6,125,ok
kartheepan/P07_LL.zip,task_backup,kartheepan,35510426,35510096,1,1,1,589,5,0,6,141,ok
kartheepan/P07_LS.zip,task_backup,kartheepan,48622840,48622396,1,1,1,762,8,0,8,143,ok
kartheepan/P07_T.zip,task_backup,kartheepan,25982395,25981953,1,1,1,716,8,0,7,133,ok
kartheepan/P12_LL.zip,task_backup,kartheepan,25542264,25541934,1,1,1,423,3,0,5,129,ok
kartheepan/P12_LS.zip,task_backup,kartheepan,33248866,33248422,1,1,1,515,8,0,7,121,ok
kartheepan/P12_T.zip,task_backup,kartheepan,5626150,5625708,1,1,1,492,6,0,7,109,ok
kartheepan/P13_LL.zip,task_backup,kartheepan,24294770,24294440,1,1,1,401,4,0,5,110,ok
kartheepan/P13_LS.zip,task_backup,kartheepan,31682085,31681641,1,1,1,504,8,0,7,134,ok
kartheepan/P13_T.zip,task_backup,kartheepan,6052031,6051589,1,1,1,510,7,0,7,129,ok
kartheepan/P14_LL.zip,task_backup,kartheepan,26280063,26279733,1,1,1,434,4,0,6,132,ok
kartheepan/P14_LS.zip,task_backup,kartheepan,37030098,37029654,1,1,1,565,8,0,7,155,ok
kartheepan/P14_T.zip,task_backup,kartheepan,5770886,5770444,1,1,1,529,7,0,7,129,ok
kartheepan/P15_LL.zip,task_backup,kartheepan,34442870,34442540,1,1,1,572,4,0,5,158,ok
kartheepan/P15_LS.zip,task_backup,kartheepan,46542245,46541801,1,1,1,709,7,0,7,204,ok
kartheepan/P15_T.zip,task_backup,kartheepan,7590597,7590155,1,1,1,678,6,0,7,111,ok
kartheepan/P31_LL.zip,task_backup,kartheepan,29143038,29142708,1,1,1,482,2,0,3,112,ok
kartheepan/P31_LS.zip,task_backup,kartheepan,31412534,31412204,1,1,1,622,6,0,7,133,ok
kartheepan/P31_T.zip,task_backup,kartheepan,70070989,70070547,1,1,1,1073,5,0,7,135,ok
kartheepan/P32_LL.zip,task_backup,kartheepan,24989018,24988688,1,1,1,414,3,0,3,107,ok
kartheepan/P32_LS.zip,task_backup,kartheepan,29378376,29378046,1,1,1,576,8,0,7,104,ok
kartheepan/P32_T.zip,task_backup,kartheepan,34121240,34120798,1,1,1,531,6,0,6,78,ok
kartheepan/P33_LL.zip,task_backup,kartheepan,47451938,47451608,1,1,1,791,5,0,4,141,ok
kartheepan/P33_LS.zip,task_backup,kartheepan,49204182,49203852,1,1,1,965,5,0,6,138,ok
kartheepan/P33_T.zip,task_backup,kartheepan,60424080,60423638,1,1,1,938,6,0,6,129,ok
Kishonithan 37 to 41.zip,project_backup,Kishonithan 37 to 41,583232195,583226029,15,5,15,10007,85,0,96,1966,ok
Rashad.zip,project_backup,Rashad,535509476,535503440,15,5,15,9185,66,0,80,1058,ok
Sharmilan.zip,project_backup,Sharmilan,539684049,539678013,15,5,15,9231,88,1,109,1940,ok
sujeevan.zip,project_backup,sujeevan,474186404,474180368,15,5,15,8135,82,0,91,875,ok
