label,declared_type,tags,standalone_shapes,tracks,track_keyframes,tasks_present
Gel applied,tag,151,0,0,0,128
apical_placement_zone,any,4,0,128,864,129
both_paddle_buttons_pressed,tag,96,0,0,0,95
defibrillator_screen,any,0,0,70,1257,70
first_paddle_taken,tag,127,0,0,0,124
learner_hand,any,1,1,216,5413,139
paddle_apical,any,2,0,157,4720,142
paddle_sternal,any,1,0,177,2334,137
paddles_firmly_on_chest,tag,126,0,0,0,126
paddles_removed_after_shock,tag,140,0,0,0,139
second_paddle_taken,tag,118,0,0,0,114
shock_delivered_on_screen,tag,41,0,0,0,41
shock_symbol,any,5,0,47,99,50
sternal_placement_zone,any,1,1,94,743,93
