annotation_kind,label,camera_view,annotations,tasks_present
tag,Gel applied,LL,49,44
tag,Gel applied,LS,59,45
tag,Gel applied,T,43,39
tag,apical_placement_zone,LL,3,3
tag,apical_placement_zone,LS,1,1
tag,both_paddle_buttons_pressed,LL,10,10
tag,both_paddle_buttons_pressed,LS,40,40
tag,both_paddle_buttons_pressed,T,46,45
tag,first_paddle_taken,LL,44,42
tag,first_paddle_taken,LS,41,40
tag,first_paddle_taken,T,42,42
tag,learner_hand,LL,1,1
tag,paddle_apical,LL,2,1
tag,paddle_sternal,LL,1,1
tag,paddles_firmly_on_chest,LL,33,33
tag,paddles_firmly_on_chest,LS,47,47
tag,paddles_firmly_on_chest,T,46,46
tag,paddles_removed_after_shock,LL,45,45
tag,paddles_removed_after_shock,LS,48,47
tag,paddles_removed_after_shock,T,47,47
tag,second_paddle_taken,LL,36,33
tag,second_paddle_taken,LS,40,40
tag,second_paddle_taken,T,42,41
tag,shock_delivered_on_screen,LS,32,32
tag,shock_delivered_on_screen,T,9,9
tag,shock_symbol,LS,5,5
tag,sternal_placement_zone,LS,1,1
track,apical_placement_zone,LL,44,44
track,apical_placement_zone,LS,46,46
track,apical_placement_zone,T,38,38
track,defibrillator_screen,LL,3,3
track,defibrillator_screen,LS,48,48
track,defibrillator_screen,T,19,19
track,learner_hand,LL,60,48
track,learner_hand,LS,82,46
track,learner_hand,T,74,45
track,paddle_apical,LL,58,47
track,paddle_apical,LS,48,47
track,paddle_apical,T,51,48
track,paddle_sternal,LL,79,44
track,paddle_sternal,LS,48,46
track,paddle_sternal,T,50,47
track,shock_symbol,LS,38,38
track,shock_symbol,T,9,9
track,sternal_placement_zone,LL,1,1
track,sternal_placement_zone,LS,46,46
track,sternal_placement_zone,T,47,45
