archive,archive_type,annotation_source,task_path,raw_task_name,media_name,canonical_task_id,participant_id,participant_number,camera_view,subset,task_status,job_statuses,start_frame,stop_frame,frame_count,width,height,media_size_bytes,declared_label_count,tag_count,standalone_shape_count,track_count,track_keyframe_count,rotated_keyframe_count,outside_keyframe_count,tag_labels,track_labels,shape_types,event_frames,schema_fingerprint
kartheepan/P01_LL.zip,task_backup,kartheepan,.,P01_LL,P01_LL.mp4,P01_LL,P01,1,LL,,annotation,annotation,0,472,473,1920,1080,41256579,14,4,0,6,89,27,5,Gel applied;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock,apical_placement_zone;learner_hand;paddle_apical;paddle_sternal,rectangle,Gel applied=225;first_paddle_taken=293;paddles_firmly_on_chest=365;paddles_removed_after_shock=397,Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P01_LS.zip,task_backup,kartheepan,.,P01_LS,P01_LS.MOV,P01_LS,P01,1,LS,Train,annotation,annotation,0,609,610,1920,1080,37998414,14,8,0,7,103,58,3,Gel applied;both_paddle_buttons_pressed;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock;second_paddle_taken;shock_delivered_on_screen,apical_placement_zone;defibrillator_screen;learner_hand;paddle_apical;paddle_sternal;shock_symbol;sternal_placement_zone,rectangle,"Gel applied=288,323;both_paddle_buttons_pressed=496;first_paddle_taken=423;paddles_firmly_on_chest=483;paddles_removed_after_shock=528;second_paddle_taken=463;shock_delivered_on_screen=504",Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P01_T.zip,task_backup,kartheepan,.,P01_T,P01_T.MOV,P01_T,P01,1,T,Train,annotation,annotation,0,616,617,1920,1080,40075121,14,8,0,7,135,6,0,Gel applied;both_paddle_buttons_pressed;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock;second_paddle_taken;shock_delivered_on_screen,apical_placement_zone;defibrillator_screen;learner_hand;paddle_apical;paddle_sternal;shock_symbol;sternal_placement_zone,rectangle,"Gel applied=260,296;both_paddle_buttons_pressed=464;first_paddle_taken=391;paddles_firmly_on_chest=448;paddles_removed_after_shock=519;second_paddle_taken=437;shock_delivered_on_screen=477",Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P03_LL.zip,task_backup,kartheepan,.,P03_LL,P03_LL.MP4,P03_LL,P03,3,LL,Train,annotation,annotation,0,482,483,,,29107197,14,4,0,5,120,57,4,Gel applied;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock,apical_placement_zone;learner_hand;paddle_apical;paddle_sternal,rectangle,Gel applied=193;first_paddle_taken=284;paddles_firmly_on_chest=374;paddles_removed_after_shock=406,Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P03_LS.zip,task_backup,kartheepan,.,P03_LS,P03_LS.MOV,P03_LS,P03,3,LS,Train,annotation,annotation,0,635,636,1920,1080,39554039,14,8,0,7,120,103,3,Gel applied;both_paddle_buttons_pressed;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock;second_paddle_taken;shock_delivered_on_screen,apical_placement_zone;defibrillator_screen;learner_hand;paddle_apical;paddle_sternal;shock_symbol;sternal_placement_zone,rectangle,"Gel applied=198,226;both_paddle_buttons_pressed=449;first_paddle_taken=341;paddles_firmly_on_chest=433;paddles_removed_after_shock=477;second_paddle_taken=397;shock_delivered_on_screen=450",Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P03_T.zip,task_backup,kartheepan,.,P03_T,P03_T.MOV,P03_T,P03,3,T,Train,annotation,annotation,0,536,537,1920,1080,19646227,14,8,0,7,120,7,2,Gel applied;both_paddle_buttons_pressed;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock;second_paddle_taken;shock_delivered_on_screen,apical_placement_zone;defibrillator_screen;learner_hand;paddle_apical;paddle_sternal;shock_symbol;sternal_placement_zone,rectangle,"Gel applied=166,193;both_paddle_buttons_pressed=409;first_paddle_taken=301;paddles_firmly_on_chest=396;paddles_removed_after_shock=448;second_paddle_taken=366;shock_delivered_on_screen=418",Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P04_LL.zip,task_backup,kartheepan,.,P04_LL,P04_LL.MP4,P04_LL,P04,4,LL,,annotation,annotation,0,485,486,,,29248599,14,5,0,6,163,94,5,Gel applied;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock;second_paddle_taken,apical_placement_zone;learner_hand;paddle_apical;paddle_sternal,rectangle,Gel applied=118;first_paddle_taken=254;paddles_firmly_on_chest=377;paddles_removed_after_shock=385;second_paddle_taken=324,Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P04_LS.zip,task_backup,kartheepan,.,P04_LS,P04_LS.MOV,P04_LS,P04,4,LS,Train,annotation,annotation,0,540,541,1920,1080,34567391,14,8,0,7,126,95,3,Gel applied;both_paddle_buttons_pressed;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock;second_paddle_taken;shock_delivered_on_screen,apical_placement_zone;defibrillator_screen;learner_hand;paddle_apical;paddle_sternal;shock_symbol;sternal_placement_zone,rectangle,"Gel applied=101,126;both_paddle_buttons_pressed=438;first_paddle_taken=335;paddles_firmly_on_chest=434;paddles_removed_after_shock=443;second_paddle_taken=394;shock_delivered_on_screen=439",Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P04_T.zip,task_backup,kartheepan,.,P04_T,P04_T.MOV,P04_T,P04,4,T,Train,annotation,annotation,0,512,513,1920,1080,18734553,14,7,0,7,153,11,3,Gel applied;both_paddle_buttons_pressed;first_paddle_taken;paddles_firmly_on_chest;paddles_removed_after_shock;second_paddle_taken;shock_delivered_on_screen,apical_placement_zone;defibrillator_screen;learner_hand;paddle_apical;paddle_sternal;shock_symbol;sternal_placement_zone,rectangle,Gel applied=90;both_paddle_buttons_pressed=415;first_paddle_taken=319;paddles_firmly_on_chest=397;paddles_removed_after_shock=447;second_paddle_taken=384;shock_delivered_on_screen=429,Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
kartheepan/P05_LL.zip,task_backup,kartheepan,.,P05_LL,P05_LL.MP4,P05_LL,P05,5,LL,Train,annotation,annotation,0,563,564,,,33839245,14,4,0,7,169,124,6,Gel applied;apical_placement_zone;paddles_removed_after_shock;second_paddle_taken,apical_placement_zone;learner_hand;paddle_apical;paddle_sternal,rectangle,Gel applied=198;paddles_removed_after_shock=485;second_paddle_taken=381,Gel applied:tag|apical_placement_zone:any|both_paddle_buttons_pressed:tag|defibrillator_screen:any|first_paddle_taken:tag|learner_hand:any|paddle_apical:any|paddle_sternal:any|paddles_firmly_on_chest:tag|paddles_removed_after_shock:tag|second_paddle_taken:tag|shock_delivered_on_screen:tag|shock_symbol:any|sternal_placement_zone:any
