split,class_id,class_name,boxes
train,0,paddle_sternal,3565
train,1,paddle_apical,5703
train,2,defibrillator_screen,6778
train,3,learner_hand,2501
train,4,sternal_placement_zone,9129
train,5,apical_placement_zone,10803
train,6,shock_symbol,1091
val,0,paddle_sternal,735
val,1,paddle_apical,1142
val,2,defibrillator_screen,1068
val,3,learner_hand,444
val,4,sternal_placement_zone,1556
val,5,apical_placement_zone,1851
val,6,shock_symbol,199
test,0,paddle_sternal,1037
test,1,paddle_apical,1587
test,2,defibrillator_screen,1596
test,3,learner_hand,562
test,4,sternal_placement_zone,2312
test,5,apical_placement_zone,2771
test,6,shock_symbol,307
