split,participant_id,canonical_task_id,camera_view,annotation_source,archive,media_name,source_frame_count_cvat,decoded_frame_count,fps,width,height,regular_sample_interval,sampled_frames,labelled_frames,empty_frames,boxes,clipped_boxes,skipped_boxes,event_tags
train,P16,P16_LL,LL,defibliration2,defibliration2.zip,P16_LL.MP4,606,606,25.0,1920,1080,5,155,133,22,255,0,0,6
train,P16,P16_LS,LS,defibliration2,defibliration2.zip,P16_LS.MOV,763,763,30.0,1920,1080,6,177,161,16,573,0,0,7
train,P16,P16_T,T,defibliration2,defibliration2.zip,P16_T.MOV,742,742,30.0,1080,1920,6,168,147,21,445,10,0,6
test,P17,P17_LL,LL,defibliration2,defibliration2.zip,P17_LL.MP4,404,404,25.0,1920,1080,5,106,83,23,139,0,0,5
test,P17,P17_LS,LS,defibliration2,defibliration2.zip,P17_LS.MOV,460,460,30.0,1920,1080,6,125,96,29,359,0,0,7
test,P17,P17_T,T,defibliration2,defibliration2.zip,P17_T.MOV,424,424,30.0,1080,1920,6,110,93,17,243,0,0,6
val,P18,P18_LL,LL,defibliration2,defibliration2.zip,P18_LL.MP4,414,414,25.0,1920,1080,5,107,80,27,142,0,0,5
val,P18,P18_LS,LS,defibliration2,defibliration2.zip,P18_LS.MOV,500,500,30.0,1920,1080,6,132,105,27,401,0,0,8
val,P18,P18_T,T,defibliration2,defibliration2.zip,P18_T.MOV,503,503,30.0,1080,1920,6,124,108,16,272,0,0,6
train,P19,P19_LL,LL,defibliration2,defibliration2.zip,P19_LL.MP4,386,386,25.0,1920,1080,5,103,79,24,163,0,0,5
train,P19,P19_LS,LS,defibliration2,defibliration2.zip,P19_LS.MOV,452,452,30.0,1920,1080,6,114,93,21,306,0,0,6
train,P19,P19_T,T,defibliration2,defibliration2.zip,P19_T.MOV,484,484,30.0,1080,1920,6,123,102,21,284,0,0,6
train,P20,P20_LL,LL,defibliration2,defibliration2.zip,P20_LL.MP4,415,415,25.0,1920,1080,5,109,84,25,145,0,0,5
train,P20,P20_LS,LS,defibliration2,defibliration2.zip,P20_LS.MOV,532,532,30.01,1920,1080,6,128,99,29,363,0,0,7
train,P20,P20_T,T,defibliration2,defibliration2.zip,P20_T.MOV,557,557,30.0,1080,1920,6,131,107,24,267,0,0,6
test,P21,P21_LL,LL,defibliration2,defibliration2.zip,P21_LL.MP4,397,397,25.0,1920,1080,5,102,76,26,137,0,0,4
test,P21,P21_LS,LS,defibliration2,defibliration2.zip,P21_LS.MOV,486,486,30.0,1920,1080,6,122,92,30,344,0,0,6
test,P21,P21_T,T,defibliration2,defibliration2.zip,P21_T.MOV,454,454,30.0,1080,1920,6,120,95,25,268,0,0,6
train,P22,P22_LL,LL,defibliration2,defibliration2.zip,P22_LL.MP4,1042,1042,25.0,1920,1080,5,234,160,74,282,0,0,5
train,P22,P22_LS,LS,defibliration2,defibliration2.zip,P22_LS.MOV,1228,1228,30.0,1920,1080,6,251,173,78,579,0,0,6
train,P22,P22_T,T,defibliration2,defibliration2.zip,P22_T.MOV,1168,1168,30.0,1080,1920,6,230,230,0,471,0,0,6
train,P23,P23_LL,LL,defibliration2,defibliration2.zip,P23_LL.MP4,492,492,25.0,1920,1080,5,124,124,0,187,0,0,5
train,P23,P23_LS,LS,defibliration2,defibliration2.zip,P23_LS.MOV,593,593,30.0,1920,1080,6,145,115,30,460,0,0,6
train,P23,P23_T,T,defibliration2,defibliration2.zip,P23_T.MOV,560,560,30.0,1080,1920,6,103,78,25,188,0,0,0
