split,participant_id,annotation_source,video_count,views,warning_issues,review_issues,event::Gel applied,event::both_paddle_buttons_pressed,event::first_paddle_taken,event::paddles_firmly_on_chest,event::paddles_removed_after_shock,event::second_paddle_taken,event::shock_delivered_on_screen,event_tags_total,frames,issue::coordinates_outside_frame,issue::event_order_violation,issue::object_label_used_as_tag,issue::repeated_event_tag,issue::standalone_shape_in_video_task,issue::task_name_normalized,media_bytes,outside_keyframes,rotated_keyframes,track_keyframes_total,track_views::apical_placement_zone,track_views::defibrillator_screen,track_views::learner_hand,track_views::paddle_apical,track_views::paddle_sternal,track_views::shock_symbol,track_views::sternal_placement_zone,tracks_total
val,P01,kartheepan,3,"T,LS,LL",0,5,5,2,3,3,3,2,2,20,1700,3,,,2,,,119330114,8,91,327,3,2,3,3,3,2,2,20
train,P03,kartheepan,3,"T,LS,LL",0,5,5,2,3,3,3,2,2,20,1656,3,,,2,,,88307463,9,167,360,3,2,3,3,3,2,2,19
train,P04,kartheepan,3,"T,LS,LL",0,4,4,2,3,3,3,3,2,20,1540,3,,,1,,,82550543,11,200,442,3,2,3,3,3,2,2,20
test,P05,kartheepan,3,"T,LS,LL",1,4,4,2,2,2,3,3,2,19,1919,3,,1,1,,,101775443,13,260,459,3,2,3,3,3,2,2,21
train,P06,kartheepan,3,"T,LS,LL",0,2,5,2,3,2,3,3,0,18,2214,1,,,1,,,118872920,7,5,434,3,2,3,3,3,0,2,17
train,P07,kartheepan,3,"T,LS,LL",0,6,5,3,3,3,3,2,2,21,2067,4,,,2,,,110027158,10,213,417,3,2,3,3,3,2,2,21
train,P12,kartheepan,3,"T,LS,LL",0,5,2,2,3,2,3,3,2,17,1430,4,,,1,,,64341657,8,257,359,3,2,3,3,3,2,2,19
train,P13,kartheepan,3,"T,LS,LL",0,4,4,2,3,2,3,3,2,19,1415,3,,,1,,,61950254,9,125,373,3,2,3,3,3,2,2,19
train,P14,kartheepan,3,"T,LS,LL",0,5,3,2,3,3,3,3,2,19,1528,4,,,1,,,68994465,12,90,416,3,2,3,3,3,2,2,20
test,P15,kartheepan,3,"T,LS,LL",0,2,3,1,3,2,3,3,2,17,1959,2,,,,,,88478426,9,48,473,3,2,3,3,3,2,2,19
train,P16,defibliration2,3,"T,LS,LL",0,1,3,3,3,3,3,3,1,19,2111,1,,,,,,113604650,12,13,217,3,1,3,3,3,1,2,19
test,P17,defibliration2,3,"T,LS,LL",0,0,3,2,3,3,3,3,1,18,1288,,,,,,,69836959,12,0,111,3,1,2,3,3,1,2,19
val,P18,defibliration2,3,"T,LS,LL",0,1,3,2,4,3,3,3,1,19,1417,,,,1,,,75249519,10,0,170,3,1,3,3,3,1,2,17
train,P19,defibliration2,3,"T,LS,LL",0,0,3,2,3,3,3,3,0,17,1322,,,,,,,69324837,11,0,139,3,1,2,3,3,0,2,15
train,P20,defibliration2,3,"T,LS,LL",0,0,3,2,3,3,3,3,1,18,1504,,,,,,,79645940,10,0,157,3,1,3,3,3,1,2,17
test,P21,defibliration2,3,"T,LS,LL",0,1,3,2,3,2,3,3,0,16,1337,,1,,,,,72293086,10,0,151,3,1,3,3,3,0,2,16
train,P22,defibliration2,3,"T,LS,LL",0,0,3,2,3,3,3,3,0,17,3438,,,,,,,184354375,9,0,189,3,1,3,3,3,1,2,16
train,P23,defibliration2,3,"T,LS,LL",0,0,2,1,2,2,2,2,0,11,1645,,,,,,,88036183,8,0,147,2,1,3,3,2,1,3,15
train,P24,defibliration2,3,"T,LS,LL",0,1,3,2,3,3,3,4,0,18,1270,,,,1,,,70827945,8,0,495,3,1,3,3,3,1,2,16
test,P25,defibliration2,3,"T,LS,LL",0,2,3,1,2,2,2,3,0,13,1544,,,,2,,,83672294,9,0,775,3,2,2,2,2,1,2,15
train,P26,defibliration2,3,"T,LS,LL",1,2,3,2,4,3,3,4,0,19,1637,,,,2,,1,87712381,10,0,351,3,2,3,3,3,0,2,17
train,P27,defibliration2,3,"T,LS,LL",0,1,3,3,3,2,3,3,1,18,1509,,,,1,,,81613687,14,0,324,3,2,3,3,3,1,2,22
train,P28,defibliration2,3,"T,LS,LL",0,0,3,3,3,3,3,3,1,19,1851,,,,,,,99125418,14,0,447,3,2,2,3,3,1,2,22
train,P29,defibliration2,3,"T,LS,LL",0,1,3,2,3,3,3,3,1,18,1564,,,,,1,,85337854,14,0,488,3,2,3,3,3,1,2,22
train,P30,defibliration2,3,"T,LS,LL",1,1,3,2,2,3,3,3,0,16,1432,1,,,,,1,77049480,15,11,293,3,2,3,3,2,0,2,21
train,P31,kartheepan,3,"T,LS,LL",0,0,1,1,3,2,3,2,1,13,2177,,,,,,,130546284,13,119,380,3,2,3,3,2,1,2,17
train,P32,kartheepan,3,"T,LS,LL",0,3,4,2,3,2,3,2,1,17,1521,2,,,1,,,88426159,9,110,289,3,2,3,3,2,1,2,16
train,P33,kartheepan,3,"T,LS,LL",0,2,3,1,3,3,3,3,0,16,2694,2,,,,,,156995191,10,175,408,3,2,3,3,3,0,2,16
train,P37,Kishonithan 37 to 41,3,"T,LS,LL",0,0,1,3,3,3,3,3,1,17,1957,,,,,,,114848226,19,0,385,3,1,3,3,3,1,2,19
val,P38,Kishonithan 37 to 41,3,"T,LS,LL",0,0,3,2,3,2,3,3,1,17,2074,,,,,,,120649501,15,0,392,2,1,3,3,3,1,2,18
train,P39,Kishonithan 37 to 41,3,"T,LS,LL",0,0,3,2,3,2,3,2,1,16,2114,,,,,,,123201176,22,0,375,3,1,3,3,3,1,2,20
train,P40,Kishonithan 37 to 41,3,"T,LS,LL",0,0,3,2,3,2,3,3,1,17,2058,,,,,,,118887797,13,0,416,3,1,3,3,3,1,2,20
test,P41,Kishonithan 37 to 41,3,"T,LS,LL",0,0,3,2,3,3,3,3,1,18,1804,,,,,,,105220634,12,0,398,3,1,3,3,3,1,1,19
train,P42,Rashad,3,"T,LS,LL",11,1,0,2,0,3,3,0,0,16,1817,,1,8,,,3,106132272,10,0,185,1,1,2,3,2,0,2,14
test,P43,Rashad,3,"T,LS,LL",5,2,8,2,0,3,3,0,0,18,1810,,,2,2,,3,105193241,12,0,261,2,1,3,3,3,0,2,17
train,P44,Rashad,3,"T,LS,LL",4,1,4,2,0,3,3,0,0,13,1783,,,1,1,,3,103929960,9,0,243,2,2,3,3,3,0,2,15
val,P45,Rashad,3,"T,LS,LL",3,0,3,2,0,2,3,0,0,10,1889,,,,,,3,110041724,11,0,203,3,2,3,3,3,0,2,17
train,P46,Rashad,3,"T,LS,LL",4,0,3,1,0,2,2,0,0,9,1886,,,1,,,3,109959726,9,0,166,3,2,3,3,3,1,2,17
train,P47,Sharmilan,3,"T,LS,LL",0,2,3,1,3,3,4,0,1,15,2076,1,,,1,,,120986082,10,15,368,2,1,3,2,3,1,1,15
train,P48,Sharmilan,3,"T,LS,LL",2,0,3,1,3,3,3,3,1,17,1814,,,,,,2,105850915,12,49,361,0,1,3,3,2,1,1,17
train,P49,Sharmilan,3,"T,LS,LL",0,4,4,2,3,3,3,3,1,19,1636,2,,,1,1,,95741915,20,104,403,2,1,3,3,3,1,1,24
val,P50,Sharmilan,3,"T,LS,LL",1,2,4,2,3,3,3,3,0,19,1665,1,,1,1,,,97099493,19,130,384,2,1,3,3,3,1,1,25
test,P51,Sharmilan,3,"T,LS,LL",0,2,3,2,3,3,3,3,1,18,2040,2,,,,,,119586382,20,108,424,2,1,3,3,3,1,2,28
train,P52,sujeevan,3,"T,LS,LL",0,4,3,3,4,3,2,4,1,20,1357,,2,,2,,,79166945,15,0,184,3,1,3,3,3,1,2,21
test,P53,sujeevan,3,"T,LS,LL",0,0,2,3,3,3,3,2,1,17,1821,,,,,,,105779545,13,0,189,2,1,3,3,3,1,2,18
train,P54,sujeevan,3,"T,LS,LL",0,0,2,2,2,2,2,1,1,12,1747,,,,,,,101718295,10,0,161,2,1,3,3,3,1,2,16
train,P55,sujeevan,3,"T,LS,LL",0,0,2,3,3,3,3,3,1,18,1601,,,,,,,93532830,11,0,175,3,1,3,3,3,1,2,18
val,P56,sujeevan,3,"T,LS,LL",0,0,2,2,3,2,3,2,1,15,1609,,,,,,,93760811,12,0,166,2,1,3,3,3,1,2,18
