split,participant_id,canonical_task_id,camera_view,annotation_source,archive,task_path,media_name,frame_count,tag_count,track_count,track_keyframe_count
val,P01,P01_T,T,kartheepan,kartheepan/P01_T.zip,.,P01_T.MOV,617,8,7,135
val,P01,P01_LS,LS,kartheepan,kartheepan/P01_LS.zip,.,P01_LS.MOV,610,8,7,103
val,P01,P01_LL,LL,kartheepan,kartheepan/P01_LL.zip,.,P01_LL.mp4,473,4,6,89
train,P03,P03_T,T,kartheepan,kartheepan/P03_T.zip,.,P03_T.MOV,537,8,7,120
train,P03,P03_LS,LS,kartheepan,kartheepan/P03_LS.zip,.,P03_LS.MOV,636,8,7,120
train,P03,P03_LL,LL,kartheepan,kartheepan/P03_LL.zip,.,P03_LL.MP4,483,4,5,120
train,P04,P04_T,T,kartheepan,kartheepan/P04_T.zip,.,P04_T.MOV,513,7,7,153
train,P04,P04_LS,LS,kartheepan,kartheepan/P04_LS.zip,.,P04_LS.MOV,541,8,7,126
train,P04,P04_LL,LL,kartheepan,kartheepan/P04_LL.zip,.,P04_LL.MP4,486,5,6,163
test,P05,P05_T,T,kartheepan,kartheepan/P05_T.zip,.,P05_T.MOV,661,7,7,127
test,P05,P05_LS,LS,kartheepan,kartheepan/P05_LS.zip,.,P05_LS.MOV,694,8,7,163
test,P05,P05_LL,LL,kartheepan,kartheepan/P05_LL.zip,.,P05_LL.MP4,564,4,7,169
train,P06,P06_T,T,kartheepan,kartheepan/P06_T.zip,.,P06_T.MOV,750,5,6,125
train,P06,P06_LS,LS,kartheepan,kartheepan/P06_LS.zip,.,P06_LS.MOV,803,8,6,165
train,P06,P06_LL,LL,kartheepan,kartheepan/P06_LL.zip,.,P06_LL.MP4,661,5,5,144
train,P07,P07_T,T,kartheepan,kartheepan/P07_T.zip,.,P07_T.MOV,716,8,7,133
train,P07,P07_LS,LS,kartheepan,kartheepan/P07_LS.zip,.,P07_LS.MOV,762,8,8,143
train,P07,P07_LL,LL,kartheepan,kartheepan/P07_LL.zip,.,P07_LL.MP4,589,5,6,141
train,P12,P12_T,T,kartheepan,kartheepan/P12_T.zip,.,P12_T.mov,492,6,7,109
train,P12,P12_LS,LS,kartheepan,kartheepan/P12_LS.zip,.,P12_LS.MOV,515,8,7,121
train,P12,P12_LL,LL,kartheepan,kartheepan/P12_LL.zip,.,P12_LL.MP4,423,3,5,129
train,P13,P13_T,T,kartheepan,kartheepan/P13_T.zip,.,P13_T.mov,510,7,7,129
train,P13,P13_LS,LS,kartheepan,kartheepan/P13_LS.zip,.,P13_LS.MOV,504,8,7,134
train,P13,P13_LL,LL,kartheepan,kartheepan/P13_LL.zip,.,P13_LL.MP4,401,4,5,110
train,P14,P14_T,T,kartheepan,kartheepan/P14_T.zip,.,P14_T.mov,529,7,7,129
train,P14,P14_LS,LS,kartheepan,kartheepan/P14_LS.zip,.,P14_LS.MOV,565,8,7,155
train,P14,P14_LL,LL,kartheepan,kartheepan/P14_LL.zip,.,P14_LL.MP4,434,4,6,132
test,P15,P15_T,T,kartheepan,kartheepan/P15_T.zip,.,P15_T.mov,678,6,7,111
